Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,27,2008-02-23,A,MANCHESTER UNITED,NEWCASTLE UNITED,1:05,RW,56,0:03,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,27,2008-02-23,A,MANCHESTER UNITED,NEWCASTLE UNITED,1:05,RW,45,0:02,RIGHT-FOOTED SHOT,MICHAEL CARRICK
LIONEL MESSI,07/08,LALIGA,25,2008-02-24,H,FC BARCELONA,LEVANTE UD,5:01,RW,44,2:01,LEFT-FOOTED SHOT,XAVI
CRISTIANO RONALDO,07/08,UEFA CHAMPIONS LEAGUE,LAST 16,2008-03-04,H,MANCHESTER UNITED,OLYMPIQUE LYON,1:00,RW,41,1:00,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,29,2008-03-15,A,MANCHESTER UNITED,DERBY COUNTY,0:01,OTHER,76,0:01,RIGHT-FOOTED SHOT,WAYNE ROONEY
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,30,2008-03-19,H,MANCHESTER UNITED,BOLTON WANDERERS,2:00,OTHER,8,1:00,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,30,2008-03-19,H,MANCHESTER UNITED,BOLTON WANDERERS,2:00,OTHER,19,2:00,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,31,2008-03-23,H,MANCHESTER UNITED,LIVERPOOL FC,3:00,RW,79,2:00,HEADER,NANI
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,32,2008-03-29,H,MANCHESTER UNITED,ASTON VILLA,4:00,RW,16,1:00,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,07/08,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2008-04-01,A,MANCHESTER UNITED,AS ROMA,0:02,RW,39,0:01,HEADER,PAUL SCHOLES
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,33,2008-04-06,A,MANCHESTER UNITED,MIDDLESBROUGH FC,2:02,RW,9,0:01,LEFT-FOOTED SHOT,MICHAEL CARRICK
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,34,2008-04-13,H,MANCHESTER UNITED,ARSENAL FC,2:01,RW,53,1:01,PENALTY,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,37,2008-05-03,H,MANCHESTER UNITED,WEST HAM UNITED,4:01,RW,3,1:00,RIGHT-FOOTED SHOT,EDWIN VAN DER SAR
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,37,2008-05-03,H,MANCHESTER UNITED,WEST HAM UNITED,4:01,RW,24,2:00,RIGHT-FOOTED SHOT,OWEN HARGREAVES
LIONEL MESSI,07/08,LALIGA,35,2008-05-04,H,FC BARCELONA,VALENCIA CF,6:00,RW,5,1:00,PENALTY,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,38,2008-05-11,A,MANCHESTER UNITED,WIGAN ATHLETIC,0:02,RW,32,0:01,PENALTY,OTHER
CRISTIANO RONALDO,07/08,UEFA CHAMPIONS LEAGUE,FINAL,2008-05-21,H,MANCHESTER UNITED,CHELSEA FC,6:5 ON PENS,LW,26,1:00,HEADER,WES BROWN
LIONEL MESSI,08/09,LALIGA,2,2008-09-13,H,FC BARCELONA,RACING SANTANDER,1:01,RW,70,1:00,PENALTY,OTHER
LIONEL MESSI,08/09,LALIGA,3,2008-09-21,A,FC BARCELONA,SPORTING GIJÃ³N,1:06,RW,85,1:05,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,08/09,LALIGA,3,2008-09-21,A,FC BARCELONA,SPORTING GIJÃ³N,1:06,RW,89,1:06,HEADER,XAVI
